                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.98118,                0.84723,                 1.0631,                0.85758,                0.76225,                0.82114,                 0.5864,                0.96947,                0.79269,                 1.0427,                0.00604,                0.00604,                0.00604
                     50,                0.97578,                0.84411,                 1.0625,                0.85836,                0.76287,                0.82209,                0.58857,                 0.9685,                0.79077,                 1.0423,              0.0059575,              0.0059575,              0.0059575
                     51,                0.97011,                0.83403,                 1.0592,                0.85686,                0.76722,                0.82321,                0.58942,                0.96755,                0.78643,                 1.0418,               0.005875,               0.005875,               0.005875
                     52,                0.97213,                0.82963,                 1.0572,                 0.8571,                0.76871,                0.82434,                0.58963,                0.96686,                0.78311,                 1.0407,              0.0057925,              0.0057925,              0.0057925
                     53,                0.96424,                0.82453,                 1.0541,                0.85715,                0.77171,                0.82465,                0.59067,                0.96527,                0.78165,                   1.04,                0.00571,                0.00571,                0.00571
                     54,                0.96074,                0.81223,                 1.0507,                0.86389,                 0.7681,                 0.8263,                0.59188,                0.96339,                 0.7789,                 1.0381,              0.0056275,              0.0056275,              0.0056275
                     55,                0.96126,                0.81439,                   1.05,                0.86059,                0.77003,                0.82688,                0.59244,                0.96216,                0.77737,                 1.0371,               0.005545,               0.005545,               0.005545
                     56,                0.95363,                0.80221,                 1.0445,                0.86027,                0.77216,                0.82697,                 0.5924,                0.96113,                 0.7754,                 1.0362,              0.0054625,              0.0054625,              0.0054625
                     57,                0.95036,                0.80045,                  1.044,                0.86111,                0.76946,                0.82611,                0.59263,                0.95999,                0.77288,                 1.0353,                0.00538,                0.00538,                0.00538
                     58,                0.94726,                0.79354,                 1.0416,                0.86002,                0.76858,                0.82593,                0.59316,                0.95917,                0.77127,                 1.0347,              0.0052975,              0.0052975,              0.0052975
                     59,                0.94372,                0.78313,                 1.0395,                0.86247,                0.76652,                0.82516,                0.59324,                 0.9585,                0.76836,                 1.0345,               0.005215,               0.005215,               0.005215
                     60,                 0.9451,                0.78273,                 1.0393,                0.85937,                0.76861,                0.82507,                0.59406,                 0.9577,                0.76617,                 1.0339,              0.0051325,              0.0051325,              0.0051325
                     61,                0.93956,                0.77668,                 1.0377,                 0.8591,                 0.7702,                 0.8255,                0.59441,                0.95706,                0.76476,                 1.0335,                0.00505,                0.00505,                0.00505
                     62,                0.93587,                0.76737,                 1.0347,                0.86323,                0.76998,                0.82661,                0.59567,                 0.9562,                0.76264,                 1.0333,              0.0049675,              0.0049675,              0.0049675
                     63,                0.93164,                0.76347,                 1.0323,                0.86105,                0.77167,                0.82754,                0.59592,                0.95532,                0.76106,                 1.0327,               0.004885,               0.004885,               0.004885
                     64,                0.92627,                0.75685,                 1.0307,                0.86435,                0.76958,                0.82782,                0.59645,                0.95444,                0.75944,                 1.0323,              0.0048025,              0.0048025,              0.0048025
                     65,                0.92176,                 0.7468,                 1.0244,                0.86576,                0.77114,                0.82813,                0.59692,                0.95371,                0.75823,                 1.0318,                0.00472,                0.00472,                0.00472
                     66,                0.92177,                0.74645,                 1.0249,                0.86694,                0.77121,                0.82958,                0.59758,                0.95306,                0.75678,                 1.0315,              0.0046375,              0.0046375,              0.0046375
                     67,                0.91455,                0.73679,                 1.0236,                0.86863,                0.77081,                0.82992,                0.59797,                0.95249,                0.75572,                 1.0311,               0.004555,               0.004555,               0.004555
                     68,                 0.9137,                0.73589,                 1.0217,                0.86715,                0.77068,                0.82985,                0.59817,                0.95191,                0.75445,                 1.0309,              0.0044725,              0.0044725,              0.0044725
                     69,                 0.9099,                0.72974,                 1.0169,                 0.8698,                0.76909,                0.83008,                0.59885,                0.95115,                0.75322,                 1.0303,                0.00439,                0.00439,                0.00439
                     70,                0.91072,                0.72979,                 1.0163,                0.87047,                0.76797,                0.82947,                0.59859,                0.95045,                0.75234,                 1.0298,              0.0043075,              0.0043075,              0.0043075
                     71,                0.90729,                0.72363,                 1.0136,                0.87124,                0.76826,                0.82958,                0.59899,                0.95005,                0.75108,                 1.0295,               0.004225,               0.004225,               0.004225
                     72,                0.90228,                0.71315,                  1.013,                0.86916,                0.76905,                0.82985,                0.59942,                0.94954,                0.75012,                 1.0291,              0.0041425,              0.0041425,              0.0041425
                     73,                 0.8989,                0.71061,                 1.0103,                0.86694,                0.77032,                0.82948,                0.59957,                0.94917,                0.74937,                 1.0289,                0.00406,                0.00406,                0.00406
                     74,                0.89685,                0.70658,                 1.0104,                 0.8675,                  0.771,                0.82985,                0.59984,                0.94874,                0.74848,                 1.0286,              0.0039775,              0.0039775,              0.0039775
                     75,                0.89305,                0.70199,                  1.007,                0.86967,                0.77011,                0.82971,                0.59987,                0.94847,                 0.7476,                 1.0283,               0.003895,               0.003895,               0.003895
                     76,                0.88751,                0.69616,                 1.0048,                0.86886,                 0.7703,                0.82957,                0.60023,                0.94803,                0.74712,                 1.0281,              0.0038125,              0.0038125,              0.0038125
                     77,                0.88284,                0.68787,                 1.0017,                0.86808,                0.77224,                0.82967,                0.60023,                0.94783,                0.74656,                 1.0281,                0.00373,                0.00373,                0.00373
                     78,                0.88632,                 0.6891,                 1.0023,                0.86712,                 0.7731,                0.82982,                0.60044,                0.94765,                0.74567,                 1.0279,              0.0036475,              0.0036475,              0.0036475
                     79,                0.88241,                0.68158,                0.99825,                 0.8655,                0.77461,                0.82996,                0.60069,                0.94751,                0.74491,                 1.0278,               0.003565,               0.003565,               0.003565
                     80,                0.87847,                0.67994,                0.99958,                0.86754,                0.77345,                   0.83,                0.60106,                0.94728,                0.74427,                 1.0276,              0.0034825,              0.0034825,              0.0034825
                     81,                0.87528,                0.67659,                0.99429,                0.86838,                0.77351,                0.83029,                0.60103,                0.94685,                0.74368,                 1.0273,                 0.0034,                 0.0034,                 0.0034
                     82,                 0.8703,                0.66875,                0.99162,                0.86728,                0.77469,                0.83032,                0.60137,                0.94656,                0.74306,                 1.0273,              0.0033175,              0.0033175,              0.0033175
                     83,                 0.8702,                0.66685,                0.99137,                0.86797,                0.77447,                0.83095,                0.60168,                0.94635,                0.74235,                 1.0271,               0.003235,               0.003235,               0.003235
                     84,                0.86704,                 0.6594,                0.99063,                0.86776,                0.77456,                0.83094,                0.60201,                0.94611,                0.74151,                 1.0268,              0.0031525,              0.0031525,              0.0031525
                     85,                 0.8635,                0.65589,                0.98761,                0.86696,                 0.7756,                0.83092,                0.60238,                0.94593,                0.74088,                 1.0267,                0.00307,                0.00307,                0.00307
                     86,                0.85661,                0.65033,                 0.9843,                0.86694,                0.77565,                0.83113,                0.60244,                0.94561,                0.74022,                 1.0265,              0.0029875,              0.0029875,              0.0029875
                     87,                0.85796,                 0.6515,                0.98469,                0.86801,                0.77532,                0.83159,                0.60267,                0.94552,                0.73936,                 1.0264,               0.002905,               0.002905,               0.002905
                     88,                 0.8518,                0.64247,                 0.9832,                0.86835,                0.77598,                0.83223,                0.60317,                0.94526,                0.73877,                 1.0263,              0.0028225,              0.0028225,              0.0028225
                     89,                0.85065,                0.63988,                0.98151,                0.87038,                0.77526,                0.83249,                0.60353,                0.94509,                0.73839,                 1.0262,                0.00274,                0.00274,                0.00274
                     90,                0.84638,                0.63351,                 0.9777,                0.86929,                0.77673,                0.83261,                0.60376,                0.94514,                0.73798,                 1.0261,              0.0026575,              0.0026575,              0.0026575
                     91,                0.84244,                0.63111,                0.97752,                0.86965,                0.77746,                0.83288,                0.60392,                0.94505,                0.73726,                  1.026,               0.002575,               0.002575,               0.002575
                     92,                0.84217,                0.62842,                0.97463,                0.87235,                0.77587,                0.83307,                0.60415,                0.94482,                0.73676,                 1.0259,              0.0024925,              0.0024925,              0.0024925
                     93,                  0.839,                 0.6265,                 0.9736,                0.87251,                0.77618,                0.83357,                0.60415,                 0.9447,                0.73627,                 1.0257,                0.00241,                0.00241,                0.00241
                     94,                0.83549,                0.61978,                0.97266,                0.87491,                0.77505,                 0.8335,                0.60453,                0.94459,                0.73564,                 1.0256,              0.0023275,              0.0023275,              0.0023275
                     95,                0.83269,                0.61496,                0.97066,                0.87623,                0.77422,                 0.8337,                0.60445,                0.94442,                0.73501,                 1.0255,               0.002245,               0.002245,               0.002245
                     96,                0.82874,                0.61025,                0.96908,                0.87559,                0.77375,                0.83407,                0.60473,                0.94432,                0.73443,                 1.0254,              0.0021625,              0.0021625,              0.0021625
                     97,                0.82476,                0.60778,                0.96623,                 0.8741,                0.77451,                0.83391,                 0.6049,                0.94432,                0.73407,                 1.0254,                0.00208,                0.00208,                0.00208
                     98,                0.82502,                0.60613,                 0.9638,                0.87582,                0.77366,                0.83416,                0.60486,                0.94408,                0.73359,                 1.0253,              0.0019975,              0.0019975,              0.0019975
                     99,                0.82216,                0.60281,                0.96574,                0.87732,                0.77313,                0.83429,                0.60521,                  0.944,                0.73305,                 1.0251,               0.001915,               0.001915,               0.001915
                    100,                  0.815,                0.59448,                0.96068,                0.87624,                0.77385,                0.83451,                0.60535,                 0.9439,                0.73273,                 1.0251,              0.0018325,              0.0018325,              0.0018325
                    101,                  0.815,                0.59309,                0.96052,                0.87745,                0.77314,                0.83465,                0.60568,                0.94382,                0.73221,                  1.025,                0.00175,                0.00175,                0.00175
                    102,                  0.813,                0.58946,                0.95822,                0.87683,                0.77337,                 0.8345,                0.60579,                0.94376,                0.73159,                  1.025,              0.0016675,              0.0016675,              0.0016675
                    103,                0.80574,                0.58496,                0.95775,                0.87777,                0.77367,                0.83472,                0.60571,                0.94368,                0.73127,                 1.0249,               0.001585,               0.001585,               0.001585
                    104,                0.80875,                0.58256,                0.95703,                0.87682,                 0.7737,                0.83507,                0.60583,                0.94353,                0.73054,                 1.0248,              0.0015025,              0.0015025,              0.0015025
                    105,                0.80382,                0.57864,                0.95322,                0.87546,                0.77426,                0.83504,                0.60615,                0.94354,                0.73021,                 1.0248,                0.00142,                0.00142,                0.00142
                    106,                0.79949,                0.57698,                0.95128,                0.87599,                0.77497,                0.83574,                0.60649,                0.94328,                0.72981,                 1.0246,              0.0013375,              0.0013375,              0.0013375
                    107,                0.79479,                0.56905,                0.94865,                0.87788,                0.77504,                0.83576,                0.60637,                0.94319,                0.72953,                 1.0246,               0.001255,               0.001255,               0.001255
                    108,                 0.7935,                0.56459,                0.94769,                0.87515,                0.77676,                0.83597,                0.60652,                0.94301,                0.72908,                 1.0245,              0.0011725,              0.0011725,              0.0011725
